gadm_id,department_name,gadm36_name,label_short,label_full,label_source,label_confidence,transformed_id,gadm40_name,gadm40_type
URY.9.1_1,Maldonado,n.a307,Aiguá,"Aiguá (Maldonado, Municipiality)",gadm40_exact_id,high,URY.9.1_2,Aiguá,Municipiality
URY.9.2_1,Maldonado,n.a321,Garzon,"Garzon (Maldonado, Municipiality)",gadm40_exact_id,high,URY.9.2_2,Garzon,Municipiality
URY.9.3_1,Maldonado,n.a332,Maldonado,"Maldonado (Maldonado, Municipiality)",gadm40_exact_id,high,URY.9.3_2,Maldonado,Municipiality
URY.9.4_1,Maldonado,n.a337,Pan de Azúcar,"Pan de Azúcar (Maldonado, Municipiality)",gadm40_exact_id,high,URY.9.4_2,Pan de Azúcar,Municipiality
URY.9.5_1,Maldonado,n.a339,Piriápolis,"Piriápolis (Maldonado, Municipiality)",gadm40_exact_id,high,URY.9.5_2,Piriápolis,Municipiality
URY.9.6_1,Maldonado,n.a341,Punta del Este,"Punta del Este (Maldonado, Municipiality)",gadm40_exact_id,high,URY.9.6_2,Punta del Este,Municipiality
URY.9.7_1,Maldonado,n.a345,San Carlos,"San Carlos (Maldonado, Municipiality)",gadm40_exact_id,high,URY.9.7_2,San Carlos,Municipiality
URY.9.8_1,Maldonado,n.a351,Solís Grande,"Solís Grande (Maldonado, Municipiality)",gadm40_exact_id,high,URY.9.8_2,Solís Grande,Municipiality
URY.9.9_1,Maldonado,n.a523,Maldonado unit 523,Unlabelled GADM 3.6 unit 523 in Maldonado,department_unit_fallback,low,URY.9.9_2,,
URY.10.1_1,Montevideo,n.a354,Municipio A,"Municipio A (Montevideo, Municipiality)",gadm40_exact_id,high,URY.10.1_2,Municipio A,Municipiality
URY.11.1_1,Paysandú,n.a26,Paysandú unit 26,Unlabelled GADM 3.6 unit 26 in Paysandú,department_unit_fallback,low,URY.11.1_2,,
URY.11.2_1,Paysandú,n.a31,Chapicuy,"Chapicuy (Paysandú, Municipiality)",gadm40_exact_id,high,URY.11.2_2,Chapicuy,Municipiality
URY.11.3_1,Paysandú,n.a35,Guichón,"Guichón (Paysandú, Municipiality)",gadm40_exact_id,high,URY.11.3_2,Guichón,Municipiality
URY.11.4_1,Paysandú,n.a37,Lorenzo Geyres,"Lorenzo Geyres (Paysandú, Municipiality)",gadm40_exact_id,high,URY.11.4_2,Lorenzo Geyres,Municipiality
URY.11.5_1,Paysandú,n.a39,Piedras Coloradas,"Piedras Coloradas (Paysandú, Municipiality)",gadm40_exact_id,high,URY.11.5_2,Piedras Coloradas,Municipiality
URY.11.6_1,Paysandú,n.a40,Porvenir,"Porvenir (Paysandú, Municipiality)",gadm40_exact_id,high,URY.11.6_2,Porvenir,Municipiality
URY.11.7_1,Paysandú,n.a41,Quebracho,"Quebracho (Paysandú, Municipiality)",gadm40_exact_id,high,URY.11.7_2,Quebracho,Municipiality
URY.11.8_1,Paysandú,n.a45,Tambores,"Tambores (Paysandú, Municipiality)",gadm40_exact_id,high,URY.11.8_2,Tambores,Municipiality
URY.11.9_1,Paysandú,n.a48,Paysandú unit 48,Unlabelled GADM 3.6 unit 48 in Paysandú,department_unit_fallback,low,URY.11.9_2,,
URY.11.10_1,Paysandú,n.a49,Paysandú unit 49,Unlabelled GADM 3.6 unit 49 in Paysandú,department_unit_fallback,low,URY.11.10_2,,
URY.11.11_1,Paysandú,n.a50,Paysandú unit 50,Unlabelled GADM 3.6 unit 50 in Paysandú,department_unit_fallback,low,URY.11.11_2,,
URY.11.12_1,Paysandú,n.a56,Paysandú unit 56,Unlabelled GADM 3.6 unit 56 in Paysandú,department_unit_fallback,low,URY.11.12_2,,
URY.12.1_1,Río Negro,n.a58,Río Negro unit 58,Unlabelled GADM 3.6 unit 58 in Río Negro,department_unit_fallback,low,URY.12.1_2,,
URY.12.2_1,Río Negro,n.a59,Nuevo Berlín,"Nuevo Berlín (Río Negro, Municipiality)",gadm40_exact_id,high,URY.12.2_2,Nuevo Berlín,Municipiality
URY.12.3_1,Río Negro,n.a60,San Javier,"San Javier (Río Negro, Municipiality)",gadm40_exact_id,high,URY.12.3_2,San Javier,Municipiality
URY.12.4_1,Río Negro,n.a64,Young,"Young (Río Negro, Municipiality)",gadm40_exact_id,high,URY.12.4_2,Young,Municipiality
URY.12.5_1,Río Negro,n.a69,Río Negro unit 69,Unlabelled GADM 3.6 unit 69 in Río Negro,department_unit_fallback,low,URY.12.5_2,,
URY.12.6_1,Río Negro,n.a70,Río Negro unit 70,Unlabelled GADM 3.6 unit 70 in Río Negro,department_unit_fallback,low,URY.12.6_2,,
URY.12.7_1,Río Negro,n.a73,Río Negro unit 73,Unlabelled GADM 3.6 unit 73 in Río Negro,department_unit_fallback,low,URY.12.7_2,,
URY.12.8_1,Río Negro,n.a74,Río Negro unit 74,Unlabelled GADM 3.6 unit 74 in Río Negro,department_unit_fallback,low,URY.12.8_2,,
URY.12.9_1,Río Negro,n.a75,Río Negro unit 75,Unlabelled GADM 3.6 unit 75 in Río Negro,department_unit_fallback,low,URY.12.9_2,,
URY.12.10_1,Río Negro,n.a76,Río Negro unit 76,Unlabelled GADM 3.6 unit 76 in Río Negro,department_unit_fallback,low,URY.12.10_2,,
URY.12.11_1,Río Negro,n.a84,Río Negro unit 84,Unlabelled GADM 3.6 unit 84 in Río Negro,department_unit_fallback,low,URY.12.11_2,,
URY.12.12_1,Río Negro,n.a99,Río Negro unit 99,Unlabelled GADM 3.6 unit 99 in Río Negro,department_unit_fallback,low,URY.12.12_2,,
URY.13.1_1,Rivera,n.a12,Rivera unit 12,Unlabelled GADM 3.6 unit 12 in Rivera,department_unit_fallback,low,URY.13.1_2,,
URY.13.2_1,Rivera,n.a15,Minas de Corrales,"Minas de Corrales (Rivera, Municipiality)",gadm40_exact_id,high,URY.13.2_2,Minas de Corrales,Municipiality
URY.13.3_1,Rivera,n.a16,Tranqueras,"Tranqueras (Rivera, Municipiality)",gadm40_exact_id,high,URY.13.3_2,Tranqueras,Municipiality
URY.13.4_1,Rivera,n.a17,Vichadero,"Vichadero (Rivera, Municipiality)",gadm40_exact_id,high,URY.13.4_2,Vichadero,Municipiality
URY.13.5_1,Rivera,n.a22,Rivera unit 22,Unlabelled GADM 3.6 unit 22 in Rivera,department_unit_fallback,low,URY.13.5_2,,
URY.13.6_1,Rivera,n.a23,Rivera unit 23,Unlabelled GADM 3.6 unit 23 in Rivera,department_unit_fallback,low,URY.13.6_2,,
URY.13.7_1,Rivera,n.a25,Rivera unit 25,Unlabelled GADM 3.6 unit 25 in Rivera,department_unit_fallback,low,URY.13.7_2,,
URY.13.8_1,Rivera,n.a28,Rivera unit 28,Unlabelled GADM 3.6 unit 28 in Rivera,department_unit_fallback,low,URY.13.8_2,,
URY.14.1_1,Rocha,n.a103,Rocha unit 103,Unlabelled GADM 3.6 unit 103 in Rocha,department_unit_fallback,low,URY.14.1_2,,
URY.14.2_1,Rocha,n.a128,Castillos,"Castillos (Rocha, Municipiality)",gadm40_exact_id,high,URY.14.2_2,Castillos,Municipiality
URY.14.3_1,Rocha,n.a289,Chuy,"Chuy (Rocha, Municipiality)",gadm40_exact_id,high,URY.14.3_2,Chuy,Municipiality
URY.14.4_1,Rocha,n.a291,La Paloma,"La Paloma (Rocha, Municipiality)",gadm40_exact_id,high,URY.14.4_2,La Paloma,Municipiality
URY.14.5_1,Rocha,n.a294,Lascano,"Lascano (Rocha, Municipiality)",gadm40_exact_id,high,URY.14.5_2,Lascano,Municipiality
URY.14.6_1,Rocha,n.a308,Rocha unit 308,Unlabelled GADM 3.6 unit 308 in Rocha,department_unit_fallback,low,URY.14.6_2,,
URY.14.7_1,Rocha,n.a317,Rocha unit 317,Unlabelled GADM 3.6 unit 317 in Rocha,department_unit_fallback,low,URY.14.7_2,,
URY.14.8_1,Rocha,n.a320,Rocha unit 320,Unlabelled GADM 3.6 unit 320 in Rocha,department_unit_fallback,low,URY.14.8_2,,
URY.14.9_1,Rocha,n.a328,Rocha unit 328,Unlabelled GADM 3.6 unit 328 in Rocha,department_unit_fallback,low,URY.14.9_2,,
URY.14.10_1,Rocha,n.a521,Rocha unit 521,Unlabelled GADM 3.6 unit 521 in Rocha,department_unit_fallback,low,URY.14.10_2,,
URY.15.1_1,Salto,n.a11,Salto unit 11,Unlabelled GADM 3.6 unit 11 in Salto,department_unit_fallback,low,URY.15.1_2,,
URY.15.2_1,Salto,n.a13,Belén,"Belén (Salto, Municipiality)",gadm40_exact_id,high,URY.15.2_2,Belén,Municipiality
URY.15.3_1,Salto,n.a14,Colonia Lavalleja,"Colonia Lavalleja (Salto, Municipiality)",gadm40_exact_id,high,URY.15.3_2,Colonia Lavalleja,Municipiality
URY.15.4_1,Salto,n.a150,Mataojo,"Mataojo (Salto, Municipiality)",gadm40_exact_id,high,URY.15.4_2,Mataojo,Municipiality
URY.15.5_1,Salto,n.a151,San Antonio,"San Antonio (Salto, Municipiality)",gadm40_exact_id,high,URY.15.5_2,San Antonio,Municipiality
URY.15.6_1,Salto,n.a18,Valentín,"Valentín (Salto, Municipiality)",gadm40_exact_id,high,URY.15.6_2,Valentín,Municipiality
URY.15.7_1,Salto,n.a19,Villa Constitución,"Villa Constitución (Salto, Municipiality)",gadm40_exact_id,high,URY.15.7_2,Villa Constitución,Municipiality
URY.15.8_1,Salto,n.a21,Salto unit 21,Unlabelled GADM 3.6 unit 21 in Salto,department_unit_fallback,low,URY.15.8_2,,
URY.15.9_1,Salto,n.a250,Salto unit 250,Unlabelled GADM 3.6 unit 250 in Salto,department_unit_fallback,low,URY.15.9_2,,
URY.15.10_1,Salto,n.a27,Salto unit 27,Unlabelled GADM 3.6 unit 27 in Salto,department_unit_fallback,low,URY.15.10_2,,
URY.16.1_1,San José,n.a142,San José unit 142,Unlabelled GADM 3.6 unit 142 in San José,department_unit_fallback,low,URY.16.1_2,,
URY.16.2_1,San José,n.a153,Ciudad del Plata,"Ciudad del Plata (San José, Municipiality)",gadm40_exact_id,high,URY.16.2_2,Ciudad del Plata,Municipiality
URY.16.3_1,San José,n.a154,Ecilda Paullier,"Ecilda Paullier (San José, Municipiality)",gadm40_exact_id,high,URY.16.3_2,Ecilda Paullier,Municipiality
URY.16.4_1,San José,n.a159,Libertad,"Libertad (San José, Municipiality)",gadm40_exact_id,high,URY.16.4_2,Libertad,Municipiality
URY.16.5_1,San José,n.a167,Rodríguez,"Rodríguez (San José, Municipiality)",gadm40_exact_id,high,URY.16.5_2,Rodríguez,Municipiality
URY.16.6_1,San José,n.a312,San José unit 312,Unlabelled GADM 3.6 unit 312 in San José,department_unit_fallback,low,URY.16.6_2,,
URY.16.7_1,San José,n.a336,San José unit 336,Unlabelled GADM 3.6 unit 336 in San José,department_unit_fallback,low,URY.16.7_2,,
URY.17.1_1,Soriano,n.a105,Soriano unit 105,Unlabelled GADM 3.6 unit 105 in Soriano,department_unit_fallback,low,URY.17.1_2,,
URY.17.2_1,Soriano,n.a107,Cardona,"Cardona (Soriano, Municipiality)",gadm40_exact_id,high,URY.17.2_2,Cardona,Municipiality
URY.17.3_1,Soriano,n.a111,Dolores,"Dolores (Soriano, Municipiality)",gadm40_exact_id,high,URY.17.3_2,Dolores,Municipiality
